question,references,corpus_id
What supplementary NSA guidance is available for ensuring a secure network environment?,"[{""content"": ""(CI/CD) Environments\nFurther guidance\nSupplementary NSA guidance on ensuring a secure and defensible network\nenvironment is available at www.nsa.gov/cybersecurity-guidance. Of "", ""start_index"": 346293, ""end_index"": 346469}, {""content"": ""s/NIST.SP.800-204C.pdf\nOWASP Foundation (2023), \nOWASP Top 10 CI/CD Security Risks.\n https://o"", ""start_index"": 347708, ""end_index"": 347802}, {""content"": ""oftware Vulnerabilities.\n https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800218"", ""start_index"": 349123, ""end_index"": 349217}, {""content"": ""24/7 Operations Center to report incidents and anomalous activity: Report@cisa.gov or (888) 282-"", ""start_index"": 350632, ""end_index"": 350728}, {""content"": ""finition for Initial Access. Initial Access consists of techniques\nthat MCAs use to gain an init"", ""start_index"": 352141, ""end_index"": 352237}]",chunking_evaluation/cybersecurity/cyberclean.txt
What are the key steps to mitigate the modification of test benches to reduce coverage or hide Trojan code in FPGA applications?,"[{""content"": ""to hide malicious code,\nreduce coverage or reduce functionality.\nMitigations\nCreate and execute a documented test plan that identifies the various test\nreviews that will take place, analysis to be "", ""start_index"": 571070, ""end_index"": 571267}, {""content"": ""s, and\nassertion.\nEnsure code coverage includes statement coverage, branch coverage, Finite\nState Machine (FSM), condition, expression, and toggle coverage. Document\nany code that will not be "", ""start_index"": 572222, ""end_index"": 572414}, {""content"": ""ited.\nMaintain test environment via configuration management\nThe test environment should be treated as a critical system and maintained similarly to\nthe production environment.\nTD 3.3 Mitigatin"", ""start_index"": 573566, ""end_index"": 573759}]",chunking_evaluation/cybersecurity/cyberclean.txt
"What Execution techniques does an MCA employ to exploit a DevSecOps CI/CD cloud environment, and what mitigations are suggested by D3FEND?","[{""content"": ""consists of techniques that result in adversary-controlled code running on a\nblue space system. Techniques that run malicious code are often paired with\ntechniques from any other tactics to achieve broader goals, such as exploring a network\nor stealing data. For Execution, an MCA may employ the following ATT&CK Tactic,\nTechniques/Sub-Techniques to exploit a DevSecOps CI/CD cloud "", ""start_index"": 352982, ""end_index"": 353364}, {""content"": ""ter these techniques:\nD3FEND Tactic\nCountermeasure\nApplication Hardening\nApplication Configuration Hardening [D3-ACH]\nExecution Isolation\nExecutable Allow Listing [D3-EAL]\n"", ""start_index"": 353555, ""end_index"": 353727}, {""content"": "") Environments\nfollowing ATT&CK Tactic, Techniques/Sub-Techniques to exploit a DevSecOps CI/CD\ncloud environment:\nATT&CK Tactic\nTechnique\nPersistence\nCreate Account [T1136]\nPersisten"", ""start_index"": 354300, ""end_index"": 354482}]",chunking_evaluation/cybersecurity/cyberclean.txt
How do you create a text hexadecimal hash for an EFI binary using Windows PowerShell?,"[{""content"": ""files can be signed to become AUTH files. See section 4.3.1.\nWindows PowerShell\nTo create a text hexadecimal hash:\n$hashString = Get-AppLockerFileInformation helloworld.efi | select "", ""start_index"": 442178, ""end_index"": 442360}, {""content"": ""y to hash, and multiple EFI binaries can be listed. However, hash-to-efi-sig-list does\nnot allow hashing of drivers, modules, or non-EFI binaries or input of external/arbitrary hashes\n("", ""start_index"": 446022, ""end_index"": 446207}]",chunking_evaluation/cybersecurity/cyberclean.txt
What key tasks are outlined in the FPGA configuration and testing process?,"[{""content"": ""........................ 54\nVerify the SBCS configuration process ...................................................................................................."", ""start_index"": 510413, ""end_index"": 510579}, {""content"": "".................................................. 55\nDocument the steps .........................................................."", ""start_index"": 510689, ""end_index"": 510820}, {""content"": ""................................................................ 56\nTD 10 mitigation descriptions ......................................................"", ""start_index"": 511096, ""end_index"": 511248}]",chunking_evaluation/cybersecurity/cyberclean.txt
What experiments were conducted in this study?,"[{""content"": ""nces:\ndate: 2023/11/15\nlogsource:\ncategory: ps_script\nproduct: windows\ndetection:\nselection_1:\nScriptBlockText|contains|all:\n- 'Get-WmiObject'\n- '-Class'\n- "", ""start_index"": 947912, ""end_index"": 948068}, {""content"": ""'Win32_Service'\nselection_2:\nScriptBlockText|contains|all:\n- 'Get-WindowsDriver'\n- '-Online'\n- '-All'\ncondition: selection_1 or selection_2\nPage 16 of 27 | Product ID: "", ""start_index"": 948068, ""end_index"": 948236}, {""content"": ""scription: Compressing files from temp\\ to temp used by SVR to prepare data to be\nexfiltrated\nreferences:\nauthor:\ndate: 2023/11/15\nlogsource:\ncategory: ps_script\nproduct: windows\ndetection:\nselection:\nScriptBlockText|re: '.*Compress\\-Archive.*Path.*Windows\\\\[Tt]{1}emp\\\\[19]{1"", ""start_index"": 948392, ""end_index"": 948668}, {""content"": ""ost.dll'\n- 'ModeBitmapNumericAnimate.dll'\n- 'UnregisterAncestorAppendAuto.dll'\n- 'DeregisterSeekUsers"", ""start_index"": 948992, ""end_index"": 949093}]",chunking_evaluation/cybersecurity/cyberclean.txt
What notable cyberattacks involved compromised credentials?,"[{""content"": ""and\nnotable attacks include:\nIn 2021, compromised credentials were used to attack and shut down the Colonial\nnational gas pipeline in the U.S. 1\nIn another 2021 cyberattack, an unknown attacker "", ""start_index"": 848437, ""end_index"": 848631}, {""content"": ""-water-plant-employees-used-thesame-teamviewer-password-and-no-firewall/.\n3 https://www.zdnet.com/article/confused-cyber-criminals-have-hacked-a-water-company-in-a-bizarrecase-of-mistaken-ide"", ""start_index"": 849929, ""end_index"": 850120}, {""content"": "" or utilizing users with legitimate access.\nCompromising passwords through a variety of tactics (e.g. phishing, multi-factor\nauthentication (MFA) bypass, credential stuffing, password spraying, soci"", ""start_index"": 851612, ""end_index"": 851810}]",chunking_evaluation/cybersecurity/cyberclean.txt
What steps is NSA taking to encourage women in cybersecurity?,"[{""content"": ""RECRUITING\nWOMEN IN CYBERSECURITY\nWomen comprise about 25 percent of the\nglobal cybersecurity workforce, according\nto a 2022 study by Cybersecurity Ventures.\nNSA is working with academic, industry, and\ngovernment partners to encourage more\nwomen to pursue careers in cybersecurity.\ns "", ""start_index"": 1335609, ""end_index"": 1335893}, {""content"": ""d: Women in\nCybersecurity.\n Hosted by CCC Chief\nMorgan Adamski, the short videos\nprofile female cybersecurity leaders\nacross the Intelligence Community.\nMorgan Adamski, Cybersecurity Collaboration "", ""start_index"": 1337372, ""end_index"": 1337569}, {""content"": ""lls and gain experience\nin mission-centric scenarios similar to what the NSA workforce faces daily.\nThrough December 31, students are taking on a ransomware attack challenge that\ngradually"", ""start_index"": 1339332, ""end_index"": 1339520}, {""content"": ""r schools. Application\nacceptance rates have risen 50 percent as a\nresult of the program.\nFind us on social media: @NSACyber\n"", ""start_index"": 1342602, ""end_index"": 1342795}]",chunking_evaluation/cybersecurity/cyberclean.txt
What folder structure does the actor create in the specified directory to store the ntds.dit database copy?,"[{""content"": ""should be\nanalyzed. Ntdsutil.exe creates two subfolders in the directory specified in the command:\nan Active Directory folder that contains the ntds.dit and ntds.jfm files, and a "", ""start_index"": 40036, ""end_index"": 40215}, {""content"": ""e file path where the file copies were created. Since these files can be\nTLP:CLEAR\nU/OO/156893-23 |"", ""start_index"": 41262, ""end_index"": 41361}, {""content"": ""known to use\nInvoke-NinjaCopy (PowerShell)\nDSInternals (PowerShell)\nFgDump\nMetasploit\nBest p"", ""start_index"": 42587, ""end_index"": 42679}, {""content"": "" portproxy command. Each\nportproxy command above will create a registry key in the\nHKLM\\SYSTEM\\Curre"", ""start_index"": 44004, ""end_index"": 44104}, {""content"": ""mit external\nTLP:CLEAR\nU/OO/156893-23 | PP-23-1143 | JUN 2023 Ver. 1.1\nPRC State-Sponsored C"", ""start_index"": 45521, ""end_index"": 45613}]",chunking_evaluation/cybersecurity/cyberclean.txt
How does Secure Boot prevent the execution of LoJax during the boot process?,"[{""content"": ""or a PXE boot.\nAs another malware example, consider the case of a malicious UEFI module such as LoJax.\nLoJax is a malicious modification of the anti-theft solutions known as Computrace and LoJack.\nSecure Boot will not be able to validate LoJax against any DBX, DB, or KEK meaning that use "", ""start_index"": 416440, ""end_index"": 416729}, {""content"": ""trust only the hardware that should be\npresent on a machine rather than external devices. Insiders are unable to boot to external media\nor to unexpected network interfaces.\nAdditionally, removal of the Microsoft UEFI Marketplace CA DB certificate distrusts all versions of\nLinux. Shim, the Linux pre-bootloader, is signed by Microsoft. Organizations can sign or hash\ntheir own Shim to tailor boot to a specific build of Linux. Tailoring requires the organization to\nproduce "", ""start_index"": 418758, ""end_index"": 419232}, {""content"": ""l devices intended to receive Secure Boot\ncustomization:\nA device with support for UEFI boot and Secure Boot customization. Not all devices allow\nSecure Boot customization (e.g. Mic"", ""start_index"": 422018, ""end_index"": 422199}]",chunking_evaluation/cybersecurity/cyberclean.txt
