question,references,corpus_id
What specific restrictions apply to the Platform Key's signing capabilities in UEFI Secure Boot?,"[{""content"": ""endpoint owner or infrastructure operators. The PK\nprivate key can sign UEFI environment variable changes or KEK, DB, and DBX changes\nthat can be validated by the PK certificate. The PK cannot be used for signing executable\nbinaries that are checked at boot time. Keep the PK private key secure "", ""start_index"": 404616, ""end_index"": 404911}]",chunking_evaluation/cybersecurity/cyberclean.txt
What security mitigation is recommended to prevent unauthorized access to network slices by UEs?,"[{""content"": ""network slice-specific authentication and authorization by leveraging a Network\nSlice-Specific Authentication and Authorization (NSSAA) to protect against un-authorized\naccess to slices by UEs using NSC-specific credentials (these credentials are different from\nNOP credentials that are used "", ""start_index"": 793779, ""end_index"": 794071}]",chunking_evaluation/cybersecurity/cyberclean.txt
What lightweight access methods does the FSB employ after gaining network control with Snake?,"[{""content"": ""Snake to enable interactive operations. This triggerable reverse shell, which the FSB has used\nfor around 20 years, can be used as a backup access vector, or to maintain a minimal presence in "", ""start_index"": 1024452, ""end_index"": 1024644}, {""content"": ""context of a\ncompromised machine that legitimately allows secure shell (SSH) connections, Sn"", ""start_index"": 1026080, ""end_index"": 1026172}, {""content"": "" compromised, without necessitating any\ndownstream changes in the code base. Lastly, this design fac"", ""start_index"": 1026939, ""end_index"": 1027039}]",chunking_evaluation/cybersecurity/cyberclean.txt
What enterprise environment indicators suggest potential ransomware activity during threat hunting?,"[{""content"": ""environments, check for:\nPage | 22\nNewly created AD accounts or accounts with escalated privileges and recent\nactivity related to privileged accounts such as Domain Admins.\nAnomalous VPN device "", ""start_index"": 229325, ""end_index"": 229519}, {""content"": "", disk journaling,\nor boot configurations. Look for anomalous usage of built-in Windows tools such\nas bcdedit.exe, fsutil.exe (deletejournal), vssadmin.exe, wbadmin.exe,\nand wmic.exe (shadowc"", ""start_index"": 229613, ""end_index"": 229804}, {""content"": ""netration testing software suite. Malicious actors often name\nCobalt Strike Windows processes with the same names as legitimate Windows\nprocesses to obfuscate their presence and complicate investigations.\nTLP:CLEAR\nTLP:CLEAR\nSigns of any unexpected usage of remote monitoring and management (RMM)\nsoftware (including portable executables that are not installed). RMM software is\nco"", ""start_index"": 229996, ""end_index"": 230377}, {""content"": ""dpoint or\ncommand and control traffic relayed between endpoints.\nPotential signs of data being exfiltrated from the network, which may include:\nNewly created services, unexpected scheduled tasks, unexpected software\ninstalled, unusual files created, legitimate processes with unexpecte"", ""start_index"": 230760, ""end_index"": 231045}, {""content"": ""es, introduction of\nnew firewall rules) and take automated actions as soon as they occur. For\nexample, if a new firewall rule is created that allows open traffic (0.0.0.0/0), an\nautomated"", ""start_index"": 231809, ""end_index"": 231996}]",chunking_evaluation/cybersecurity/cyberclean.txt
What steps define organizational handling of non-compliant devices under Zero Trust principles?,"[{""content"": ""comply with policies established per network\nand organizational policy. Non-compliant devices represent an unacceptable risk to the\norganization and should not have access to enterprise "", ""start_index"": 124690, ""end_index"": 124876}, {""content"": ""er\nto allow access and\nhow much.\nU/OO/214644-23 | PP-23-3606 | OCT 2023 Ver. 1.0\nNSA | Advancing Zero Trust Maturity Throughout the Device Pillar\nDevice authorization with "", ""start_index"": 126750, ""end_index"": 126922}, {""content"": ""tive that\nthey authenticate and monitor all internal and external devices that request access to\nU/OO/214644-23 | PP-23-3606 | OCT 2023 Ver. 1.0\nNSA | Advancing Zero Trust Maturity Througho"", ""start_index"": 128982, ""end_index"": 129171}, {""content"": ""\nresources and\nreport compliance.\nAutomated vulnerability and patch management\nAllowable devices must maintain security updates and patches, otherwise they add\nsignificant known mitiga"", ""start_index"": 131563, ""end_index"": 131747}]",chunking_evaluation/cybersecurity/cyberclean.txt
What specific SSO vulnerabilities were exploited in the Palo Alto Networks and SolarWinds compromises?,"[{""content"": ""September 2021, Palo Alto Networks revealed bad actors exploiting a\nvulnerability in Zoho\ns ManageEngine ADSelfService Plus SSO solution. The bad\nactors were observed deploying backdoor and credential stealing tools to maintain\naccess to the victim\ns networks including critical "", ""start_index"": 854068, ""end_index"": 854347}, {""content"": ""of a\nset of processes and policies that cover the segregation of duties, role management, logging,\naccess review, analytics, and reporting.\nWhat it Does\nIdentity governance solutions can manage the entire identity and access lifecycle for an\norganization\ns workforce. The most critical lifecycle events are often referred to as \nJoin,\nMove, and Leave\n (JML) events:\nJoin "", ""start_index"": 856830, ""end_index"": 857201}]",chunking_evaluation/cybersecurity/cyberclean.txt
What factors make smart cities attractive targets for malicious cyber actors?,"[{""content"": ""cities are attractive targets for\nmalicious cyber actors because of:\nThe data being collected, transmitted, stored, and processed, which can include\nsignificant amounts of sensitive information "", ""start_index"": 698125, ""end_index"": 698319}, {""content"": ""lignment with their specific cybersecurity requirements to ensure the\nsafe and secure operation of infrastructure systems, protection of citizens\n private data, and\nsecurity of sensitive governmen"", ""start_index"": 699178, ""end_index"": 699374}, {""content"": ""ences of compromise.\nSmart cities are an attractive target for criminals and cyber threat actors to exploit vulnerable\nsystems to steal critical infrastructure data and proprietary inform"", ""start_index"": 700525, ""end_index"": 700712}]",chunking_evaluation/cybersecurity/cyberclean.txt
What UEFI boot phases are outlined in Figure 1 of the document?,"[{""content"": ""occurs in standards-defined phases (UEFI Forum 2017). Figure 1 shows an overview\nof the phases. The "", ""start_index"": 401113, ""end_index"": 401213}, {""content"": "" validated by a certificate or by computing a SHA-256 hash\nthat matches a trusted hash. Several valu"", ""start_index"": 404178, ""end_index"": 404278}]",chunking_evaluation/cybersecurity/cyberclean.txt
What authentication measures ensure confidentiality in intra-datacenter communications for 5G network slices?,"[{""content"": ""intra-datacenter\ncommunications must use standards-based and approved encryption, and be mutually\nauthenticated security (e.g., mutual TLS or IPsec) to ensure confidentiality, integrity, "", ""start_index"": 824169, ""end_index"": 824356}, {""content"": ""vides.\nDetailed logs on performance, faults, and security events could be provided to authorized customer\npersonnel or machines. Based on measurements, the service assurance platform (e.g.,"", ""start_index"": 826502, ""end_index"": 826691}]",chunking_evaluation/cybersecurity/cyberclean.txt
Which entities must U.S. organizations notify when reporting ransomware incidents?,"[{""content"": ""outlined in your\ncyber incident response plan. Report incidents to appropriate authorities; in the\nU.S., this would include the FBI at a local FBI Field Office, CISA at\ncisa.gov/report, or the U.S. Secret Service (USSS) at a USSS Field Office.\nSouth Korean organizations: Please report "", ""start_index"": 89092, ""end_index"": 89378}]",chunking_evaluation/cybersecurity/cyberclean.txt
What capabilities were developed under NSA's Raise the Bar strategy to enhance cross-domain solution security?,"[{""content"": ""accelerated Raise the Bar\ncompliance in 2022, while working closely with\nthe vendor community on the development\nof remote management (RMAN) and remote\nmonitoring (RMON) capabilities. Several of\nthese products have entered the lab-based\nsecurity assessment process for projected\navailability "", ""start_index"": 1311701, ""end_index"": 1311993}]",chunking_evaluation/cybersecurity/cyberclean.txt
What initiatives does NSA implement to recruit women into cybersecurity roles?,"[{""content"": ""Cybersecurity Collaboration Center\n(CCC) \n where the workforce is more than 50\npercent women \n is leading the charge. For\nthe past two years, the CCC has sponsored and\nparticipated in the Women in "", ""start_index"": 1335893, ""end_index"": 1336090}, {""content"": ""y\noffensively attacking and defending against\nNSA and Georgia Tech leadership pose with the winners of the 2021 Codebreaker\nChallenge during a ceremony in Atlanta.\nTHE NSA CODEBREAKER\nCHALLENGE\nEac"", ""start_index"": 1339034, ""end_index"": 1339231}, {""content"": """", ""start_index"": 1342832, ""end_index"": 1343023}]",chunking_evaluation/cybersecurity/cyberclean.txt
What major critical infrastructure attacks involved compromised credentials between 2021 and 2022?,"[{""content"": ""involved phishing. Recent and\nnotable attacks include:\nIn 2021, compromised credentials were used to attack and shut down the Colonial\nnational gas pipeline in the U.S. 1\nIn another 2021 "", ""start_index"": 848411, ""end_index"": 848598}, {""content"": ""monitor secure IAM solutions and processes to protect not only\ntheir own business functions and information but also the organizations and individuals\nwith whom they interact. It is important to keep in mind that IAM systems implement\ncredential management, authentication, and authoriza"", ""start_index"": 848987, ""end_index"": 849274}, {""content"": ""ttps://www.bloomberg.com/news/articles/2021-06-04/hackers-breached-colonial-pipeline-usingcompromised-password.\n2 https://arstechnica.com/information-technology/2021/02/breached-water-plant-"", ""start_index"": 849752, ""end_index"": 849942}]",chunking_evaluation/cybersecurity/cyberclean.txt
What security mitigations are specified for Threat Description 8 involving FPGA platform modifications?,"[{""content"": ""................................. 50\nTD 8: Adversary modifies FPGA platform family at design "", ""start_index"": 508916, ""end_index"": 509009}, {""content"": ""........................................................................"", ""start_index"": 509313, ""end_index"": 509385}, {""content"": ""...................................................................................."", ""start_index"": 509882, ""end_index"": 509966}, {""content"": ""............................................."", ""start_index"": 511538, ""end_index"": 511583}]",chunking_evaluation/cybersecurity/cyberclean.txt
