question,references,corpus_id
What types of coverage should be included in the code coverage?,"[{""content"": ""implementation\nconclusions.\nEnsure code coverage includes statement coverage, branch coverage, FSM,\ncondition, expression, and toggle coverage. Document any code that will not be\ncovered and "", ""start_index"": 577074, ""end_index"": 577265}]",chunking_evaluation/cybersecurity/cyberclean.txt
What should network defenders do if they identify suspicious or criminal activity related to Snake?,"[{""content"": ""Infrastructure and CISA\ns Russia Cyber Threat Overview and Advisories webpage.\nTo report suspicious or criminal activity related to information found in this Joint Cybersecurity Advisory, contact\nyour local FBI field office or CISA\ns 24/7 Operations Center at Report@cisa.gov or (888) 282-0870. When\navailable, please include the following information regarding the incident: date, "", ""start_index"": 1009425, ""end_index"": 1009807}]",chunking_evaluation/cybersecurity/cyberclean.txt
What is the main goal of the U.S. participation in the O-RAN Alliance?,"[{""content"": ""n\nthe consensus-driven O-RAN Alliance represents a way for\nthe U.S. to bolster security objectives "", ""start_index"": 1245413, ""end_index"": 1245512}]",chunking_evaluation/cybersecurity/cyberclean.txt
What tools are commonly used by malicious actors to tunnel data over different protocols?,"[{""content"": ""child\nprocesses, etc.\nFor cloud environments:\nPage | 23\nAbnormal amount of data outgoing over any port. Open source software\ncan tunnel data over various ports and protocols. For "", ""start_index"": 231047, ""end_index"": 231226}, {""content"": "" information you\ncompromise (use of exploit toolkits, RDP activity,\nhave at your disposal to\nadditional files found locally).\nreceive timely and relevant\n Malware samples.\nass"", ""start_index"": 233240, ""end_index"": 233415}, {""content"": ""nalysis\naddresses, suspicious registry entries, or\nCenter: malware.us-cert.gov/\nother relevant files detected). The contacts\n MS-ISAC \n Malicious Code Analysis\nbelow may be able to assist you "", ""start_index"": 235514, ""end_index"": 235706}]",chunking_evaluation/cybersecurity/cyberclean.txt
What are the recommended security mitigations to ensure network slices are designed and deployed securely?,"[{""content"": ""Threats, and Ensure Network Slices Are Designed and\nDeployed in a Secure Manner, Recommended Security Mitigations Include:\n1) A centralized identity management system that is part of the NSP\ns PKI system, which is\ncapable of issuing and managing X.509v3 certificates to the various orchestration\ncomponents (MANO or ONAP functions). The certificates are then used for "", ""start_index"": 818174, ""end_index"": 818542}, {""content"": ""se one MNO\ns network management cannot be\nimposed on another MNO\ns operations. Particularly challenging is in the case of local breakout for\nslice orchestration as both the home and the visited networks are involved.\nOrchestration of a slice will require service agreements to be in place between transport,\nRAN/core, and slice providers in advance of a service request. Coordinated manageme"", ""start_index"": 820081, ""end_index"": 820472}, {""content"": ""ontrol plane between\ndifferent network slices is used.\nSecurity of sensitive shared network elements, such as the UDR that stores subscriber\nprofiles, needs to be secured and actively monitored.\n29 Customer Proprietary Network Information (CPNI), June 9 2008, https://docs.fcc.gov/public/"", ""start_index"": 822285, ""end_index"": 822573}, {""content"": ""ust and remote attestation.\nBackwards compatibility or at least co-existence of multi-mode network elements from previous\ngenerations also poses architectural challenges to 5G operators. These complex structural\nproblems are exacerbated in roaming situations, or in use cases that in"", ""start_index"": 824967, ""end_index"": 825250}]",chunking_evaluation/cybersecurity/cyberclean.txt
What is a key foreign intelligence authority mentioned that helps keep the United States and its allies safe?,"[{""content"": ""protect\nour Nation from our foreign adversaries.\nAuthorities like Section 702 of the Foreign Intelligence\nSurveillance Act (FISA) allow us to do that. FISA Section\n702 is a key foreign "", ""start_index"": 1219773, ""end_index"": 1219958}]",chunking_evaluation/cybersecurity/cyberclean.txt
What is Jupiter FPGAs security Assurance Level 3 primarily concerned with in SBCS devices?,"[{""content"": ""to\nbuild custom SBCS devices in compliance with LoA3 guidelines.\nOf primary concern in this scenario are threats to:\nAuthenticity of the FPGA devices\nPCB connections to the FPGA\nThe configuration methodology\nTest interfaces\nThe following mitigations only address the hardware "", ""start_index"": 629888, ""end_index"": 630164}]",chunking_evaluation/cybersecurity/cyberclean.txt
What is the description and detection method for the SIGMA rule concerning Privilege information listing via whoami?,"[{""content"": ""patterns and can be used for the threat\nhunting against collected logs.\ntitle: Privilege information listing via whoami\ndescription: Detects whoami.exe execution and listing of "", ""start_index"": 946080, ""end_index"": 946257}, {""content"": ""SGETDC\\:.*'\ncondition: selection\nfalsepositives: legitimate use by system administrator\ntitle: DLL execution via WMI\ndescription: Detects DLL execution via WMI\nauthor:\nreferences:\ndate: 2"", ""start_index"": 946907, ""end_index"": 947094}]",chunking_evaluation/cybersecurity/cyberclean.txt
What plugin is used to scan processes for the Snake user mode component?,"[{""content"": ""Plugin\nThe following plugin for the Volatility memory analysis framework will scan all processes on the\nsystem until it finds the Snake user mode component injected into a process. If found, the "", ""start_index"": 1108463, ""end_index"": 1108658}]",chunking_evaluation/cybersecurity/cyberclean.txt
What measures should organizations responsible for implementing smart cities take to protect against 'fail open' and re-enrollment scenarios?,"[{""content"": ""the ability to exploit default MFA\nprotocols. Organizations responsible for implementing smart cities should review configuration\npolicies to protect against \nfail open\n and re-enrollment "", ""start_index"": 711061, ""end_index"": 711249}]",chunking_evaluation/cybersecurity/cyberclean.txt
