question,references,corpus_id
How many genetic mutants had their corresponding genes identified using RNAi phenotypic data?,"[{""content"": ""the 21 genetic mutants (Table S3). For seven of these\u2014bli-3, bli-5, dpy-4, dpy-6, dpy-9, rol-3, and unc-108\u2014we found a mutation in one of the sequenced genes (Table 4). The mutated gene was confirmed "", ""start_index"": 493369, ""end_index"": 493569}]",chunking_evaluation/pubmed/pubmed.txt
What unique aspect of P. falciparum gene expression during the intraerythrocytic developmental cycle is highlighted?,"[{""content"": ""can be thought of as the internal operating system of the cell) during the IDC is strikingly simple. Its continuous and clock-like progression of gene activation is reminiscent of much simple life forms\u2014such as a virus or phage\u2014while unprecedented for a free living organism. Virus and phage "", ""start_index"": 126872, ""end_index"": 127164}, {""content"": ""ng the life of P. falciparum may hold the key to its downfall as any perturbation of the regulatory program will likely have dire consequences for the parasite. This offers renewed hope for the design of inhibitory drugs targeted at the regulatory machinery that would irreparably foul the paras"", ""start_index"": 127741, ""end_index"": 128036}, {""content"": ""versityWaltham, MassachusettsUnited States of America10 2003 15 9 2003 15 9 2003 1 1 e1320 6 2003 4 8 2003 Copyright: \u00a92003 Peng et al.2003This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distr"", ""start_index"": 128905, ""end_index"": 129185}, {""content"": ""so contrary to expectation, we found that all brain clock neurons manifest robust circadian oscillations of timeless and cryptochrome RNA for many days in DD. This persistent molecular rhythm requires pigment-dispersing factor (PDF), an LNv-specific neuropeptide, because the mole"", ""start_index"": 130260, ""end_index"": 130540}]",chunking_evaluation/pubmed/pubmed.txt
"What are the components of the recombination signal sequence (RSS),  what are their respective roles in the recombination process?","[{""content"": ""recombination pathway.\n\nEach RSS is made up of three components: the nonamer, which controls the ability of proteins to bind to the gene fragments and initiate recombination; the heptamer, which directs the splicing of the gene fragment; and the spacer, which regulates how the gene fragments "", ""start_index"": 343529, ""end_index"": 343822}, {""content"": ""te that a fuller understanding of the process depends on observing how all these elements\u2014including those that aren't highly conserved\u2014interact throughout the recombination process.\n\nPMID: 1455190"", ""start_index"": 345079, ""end_index"": 345275}, {""content"": ""n's rows of exposed kernels (right). (Photo courtesy of John Doebley.).\n\nPlant breeding was once restricted to sexually compatible plants, and generations of offspring were selectively bred to create unique varieties. In fact, corn, along with rice and wheat\u2014today's global crop staples\u2014wo"", ""start_index"": 346825, ""end_index"": 347114}, {""content"": ""an be regarded.\n\nAfter the expensive development process, today's concern is that broad-scale planting of Bt corn will render the toxin ineffective over time. Pests can gradually b"", ""start_index"": 348860, ""end_index"": 349040}]",chunking_evaluation/pubmed/pubmed.txt
What components make up the P. falciparum genome?,"[{""content"": ""apeutic and vaccine strategies.\n\nThe 22.8 Mb genome of P. falciparum is comprised of 14 linear chromosomes, a circular plastid-like genome, and a linear mitochondrial genome. The malaria genome "", ""start_index"": 4781, ""end_index"": 4975}]",chunking_evaluation/pubmed/pubmed.txt
What were the primary findings of each experiment discussed in the text?,"[{""content"": ""ayed planting to offset pollination\u2014many ask, \u201cWhy use corn?\u201d \u201cWe know so much about corn genetics,\u201d explains agricultural biotechnologist Guy Cardineau, \u201cand it naturally lends itself to "", ""start_index"": 357132, ""end_index"": 357320}, {""content"": ""production with kernel packets of protein that can be stored indefinitely.\u201d A number of scientists and United States food makers are not yet convinced that the benefits outweigh the risks and have "", ""start_index"": 357320, ""end_index"": 357517}, {""content"": "" of concerns, the members of the influential Biotechnology Industry Organization decided last December to overturn its initial decision to remove pharma crops from the United States Corn Belt states and voluntarily police their use. A Colorado trial of corn producing a protein to treat cyst"", ""start_index"": 357705, ""end_index"": 357996}, {""content"": ""get organisms, such as soil microbes, remain a concern. When microbial genetics research uncovered how genes could be transferred between species in ways other than reproduction, so-called horizontal "", ""start_index"": 358381, ""end_index"": 358581}]",chunking_evaluation/pubmed/pubmed.txt
What variables were tested in each experiment to determine their impact on the reaction rate?,"[{""content"": ""ganismal phylogeny and the frequency of LGT affecting orthologs in this bacterial group.\n\nPhylogenies.\nThe alignments for each identified gene family were created using the CLUSTALW "", ""start_index"": 209462, ""end_index"": 209644}, {""content"": ""1.8 program (Thompson et al. 1994). We corrected the concatenated proteins alignment by removing ambiguous parts using the SEAVIEW sequence editor (Galtier et al. 1996). The TREE-PUZZLE 5.1 "", ""start_index"": 209644, ""end_index"": 209834}, {""content"": "" generate a set of reasonable candidate topologies that could be tested against the alignments for individual genes. These topologies were generated based on the consensus of the 205 trees from individual protein families (one method, yielding topology 5 of Figure 2), on the concatenation of"", ""start_index"": 210016, ""end_index"": 210308}, {""content"": ""he rate heterogeneity among sites; the PHYLO_WIN program (Galtier et al. 1996) using the NJ method with bootstrap and using two different distances, Kimura 2P distance and Galtier and Gouy di"", ""start_index"": 210680, ""end_index"": 210871}]",chunking_evaluation/pubmed/pubmed.txt
What is the relationship between the control coefficients for β-catenin and axin?,"[{""content"": ""transition from the reference state to the standard stimulated state. The effects of parameter changes on axin are generally opposite to those on \u03b2-catenin; i.e., processes with a positive control coefficient for \u03b2-catenin have negative control coefficients for axin and vice versa. A "", ""start_index"": 439652, ""end_index"": 439937}]",chunking_evaluation/pubmed/pubmed.txt
What processes become important in the standard stimulated state that were not significant in the reference state?,"[{""content"": ""k\n13) are also small. Calculation of control coefficients for the standard stimulated state reveals that some steps that exert no control in the reference state become important. These are the activation and inactivation of Dsh (rate constants: k\n1 and k\n2) and, more pronounced, the Dsh-mediated release of GSK3\u03b2 from the destruction complex (k\n3). For all other processes, the "", ""start_index"": 439195, ""end_index"": 439574}]",chunking_evaluation/pubmed/pubmed.txt
What variable was tested in Experiment D to determine its impact on the reaction rate?,"[{""content"": ""\u03b2-catenin is sequestered by TCF, thereby resulting in a significant decrease in free \u03b2-catenin (Lee et al. 2001). The addition of TCF would be expected to decrease the rate of \u03b2-catenin "", ""start_index"": 410432, ""end_index"": 410618}]",chunking_evaluation/pubmed/pubmed.txt
What methods were used to analyze gene expression in Plasmodium falciparum?,"[{""content"": ""high-accuracy mass spectrometry Nature 2002 419 537 542 12368870\nLe Roch KG  Zhou Y  Batalov S  Winzeler EA   Monitoring the chromosome 2 intraerythrocytic transcriptome of Plasmodium falciparum  "", ""start_index"": 83948, ""end_index"": 84144}, {""content"": ""HM  Tanaka M  Fox BA    An enlarged largest subunit of Plasmodium falciparum  RNA polymerase II defines conserved and variable RNA polymerase domains Nucleic Acids Res 1989 17 9621 9636 2"", ""start_index"": 84235, ""end_index"": 84422}, {""content"": ""rey SS    Microarray analysis reveals a major direct role of DNA copy number alteration in the transcriptional program of human breast tumors Proc Natl Acad Sci U S A 2002 99 12963 12968 12297621\nPreiser P  Kaviratne M  Khan S  Bannister L  Jarra W   The apical organelles of malaria"", ""start_index"": 85978, ""end_index"": 86261}]",chunking_evaluation/pubmed/pubmed.txt
