question,references,corpus_id
What effect does the overexpression of wild-type and mutant ARNO constructs have on PLD activity in insulin-stimulated cells?,"[{""content"": ""wild type ARNO, and mutant ARNO constructs.\n\nFig. 6 shows that the overexpression of the wild type ARNO significantly increased insulin-induced PLD activity when compared with that of non-transfected cells. In contrast, the overexpression of the indicated ARNO mutants significantly decreased the ability of insulin to stimulate PLD. We conclude, therefore, that members of the "", ""start_index"": 246317, ""end_index"": 246695}, {""content"": ""o examine specific aspects of insulin receptor function, such as receptor phosphorylation and traffic [23, 31\u201333] and the regulation of the MAPK pathway [34].\n\nOur studies showed that insulin promoted the translocation of myc-tagged ARNO constructs to the plasma membrane. This r"", ""start_index"": 248506, ""end_index"": 248785}]",chunking_evaluation/pubmed/pubmed.txt
Which specific Plasmodium falciparum vaccine candidates are mentioned as being highly studied?,"[{""content"": ""of the best-known malaria vaccine candidates, including AMA1, MSP1, MSP3, MSP5, EBA175, RAP1, and "", ""start_index"": 52429, ""end_index"": 52527}]",chunking_evaluation/pubmed/pubmed.txt
"What bacteria are grouped together as sister-group to enteric bacteria Yersinia, Salmonella, and Escherichia in the best-supported topology?","[{""content"": ""grouped and comprise the sister-group to the enteric bacteria Yersinia, Salmonella, and Escherichia. Previously published phylogenies, based on SSU rRNA, gave conflicting results for the "", ""start_index"": 192788, ""end_index"": 192975}, {""content"": ""ving the P. aeruginosa genome. Because the \u03b3-Proteobacteria has been the bacterial group most often cited as showing high rates of LGT, this finding is unexpected. However, we note tha"", ""start_index"": 194607, ""end_index"": 194791}]",chunking_evaluation/pubmed/pubmed.txt
What ongoing project is this paper part of?,"[{""content"": ""declared that no conflicts of interest exist.\n\n\nAuthor Contributions. This project is part of an ongoing multicentre collaboration on elephant conservation. All authors on this manuscript contributed substantively to the work described herein.\n\nAcademic Editor: Craig Moritz, University "", ""start_index"": 116148, ""end_index"": 116435}]",chunking_evaluation/pubmed/pubmed.txt
What core proteins are necessary for mediating a Wnt signal according to the kinetic model?,"[{""content"": ""proteins interact with the Wnt pathway, we have focused only on core components known to be necessary for mediating a Wnt signal in most contexts. These core proteins include GSK3\u03b2, protein phosphatase 2A (PP2A), \u03b2-catenin, APC, axin, Dsh, TCF, and Wnt. The reactions incorporated into our "", ""start_index"": 388129, ""end_index"": 388419}]",chunking_evaluation/pubmed/pubmed.txt
How many additional genes were identified in the rrf-3 RNAi screen compared to wild-type?,"[{""content"": ""423 clones that previously did not induce a phenotype (corresponding to 393 additional genes). To "", ""start_index"": 478660, ""end_index"": 478758}]",chunking_evaluation/pubmed/pubmed.txt
How many clones showed phenotypes in both the rrf-3 RNAi screen and previous wild-type screens?,"[{""content"": ""strain, we next screened the complete RNAi library with rrf-3 mutant animals. We obtained results for 16,401 clones and detected phenotypes for 2,079 (12.7%). Of these, we identified phenotypes for 625 clones for which no phenotype was reported in the Fraser et al. (2000) or Kamath et al. (2003) screens using N2, with the remaining 1,454generating phenotypes in both screens (Table S1). In "", ""start_index"": 484025, ""end_index"": 484417}]",chunking_evaluation/pubmed/pubmed.txt
What role does the spacer component of recombination signal sequences play in V(D)J recombination?,"[{""content"": ""spacer, which regulates how the gene fragments are recombined. Mutations in the DNA sequence of "", ""start_index"": 343775, ""end_index"": 343871}, {""content"": ""ing modifies teosinte's few fruitcases (left) into modern corn's rows of exposed kernels (right). ("", ""start_index"": 346764, ""end_index"": 346863}, {""content"": ""unt for most GM plantings: herbicide-tolerant soybeans (62%), insect-resistant corn (12.4%), insec"", ""start_index"": 349944, ""end_index"": 350042}]",chunking_evaluation/pubmed/pubmed.txt
What is required for the ventral lateral neurons to sustain the fly’s circadian rhythms during constant darkness?,"[{""content"": ""that the persistence of normal cycling during constant darkness depends on a protein (called PDF) secreted by the ventral lateral cells.\n\nThe PDF neuropeptide protein was thought to connect the molecular expression pattern of the ventral lateral neurons with the manifestation of circadian rhythms, but the researchers found evidence of a larger influence. When mutant flies lacking a functional PDF gene were exposed to constant darkness, the molecular expression patterns gradually stopped. The scientists say this suggests that the ventral lateral neurons and the PDF protein it "", ""start_index"": 226633, ""end_index"": 227215}]",chunking_evaluation/pubmed/pubmed.txt
Which genomes share the same number of ortholog families with Buchnera?,"[{""content"": ""Buchnera with E. coli, our results shows that the phylogenetic relationship is equally high with other enterics, such as Yersinia pestis, which indeed shares as many ortholog families with Buchnera as does E. coli. This knowledge of relationships to other genomes allows more accurate "", ""start_index"": 202881, ""end_index"": 203166}]",chunking_evaluation/pubmed/pubmed.txt
