question,references,corpus_id
What residues in RAG2 are critical for DNA binding by the RAG1–RAG2 complex?,"[{""content"": ""Science 1994 263 348 355 8278807\nFugmann SD  Schatz DG   Identification of basic residues in RAG2 critical for DNA binding by the RAG1\u2013RAG2 complex Mol Cell 2001 8 899 910 11684024\nFugmann SD  Lee "", ""start_index"": 334605, ""end_index"": 334802}]",chunking_evaluation/pubmed/pubmed.txt
What computational method identified cell-cycle-regulated genes in the Plasmodium falciparum IDC dataset?,"[{""content"": ""of the P. falciparum IDC dataset, a similar computational approach was taken. We performed simple Fourier analysis, which allowed us to calculate both the apparent phase and frequency of expression "", ""start_index"": 13943, ""end_index"": 14141}]",chunking_evaluation/pubmed/pubmed.txt
Which gene products in the Wnt pathway are identified as oncogenes or tumor suppressors according to control coefficients?,"[{""content"": ""products could be oncogenes or tumor suppressors. As shown in Table 4, by this criterion APC, GSK3\u03b2, and axin are potent tumor suppressors, whereas \u03b2-catenin is an oncogene. Dsh would be "", ""start_index"": 454966, ""end_index"": 455153}]",chunking_evaluation/pubmed/pubmed.txt
How does the spacer sequence in recombination signal sequences (RSS) influence V(D)J recombination in lymphoid cells?,"[{""content"": ""signal sequence affects V(D)J rearrangement frequency and correlates with nonrandom V-kappa usage "", ""start_index"": 337517, ""end_index"": 337615}, {""content"": ""839801\nSwanson PC  Desiderio S   V(D)J recombination signal recognition-distinct, overlapping DNA-protein contacts in complexes containing RAG1 with and without RAG2 Immunity 1998 9 115"", ""start_index"": 339607, ""end_index"": 339792}, {""content"": ""mbining fragments of their genes into new configurations. This genetic reshuffling process, cal"", ""start_index"": 342746, ""end_index"": 342841}]",chunking_evaluation/pubmed/pubmed.txt
What structural features of ARNO are required for its insulin-induced plasma membrane translocation?,"[{""content"": ""ARF-GEF activity; 2) ARNO translocation to the plasma membrane requires an intact PH domain; 3) the "", ""start_index"": 249159, ""end_index"": 249259}, {""content"": ""mutants with defective PH and CC domains acted as dominant inhibitors of insulin-dependent PLD activ"", ""start_index"": 252241, ""end_index"": 252341}, {""content"": ""ed by the interactions of their PH domain with polyphosphoinositides generated by the action of PI"", ""start_index"": 255423, ""end_index"": 255521}]",chunking_evaluation/pubmed/pubmed.txt
What effect does an anticonsensus spacer (Sac) have on recombination levels compared to the Jβ2.6 RSS spacer?,"[{""content"": ""recombination. In all cases, Sac reduced recombination levels 10- to 20-fold compared to the already inefficient J\u03b22.6 RSS spacer (Figure 3B; compare N to Sac\u2013N, and H\u2013N to H\u2013Sac\u2013N). In our "", ""start_index"": 291404, ""end_index"": 291594}]",chunking_evaluation/pubmed/pubmed.txt
How many bacterial clones with RNAi phenotypes specific to the rrf-3 screen were confirmed after retesting?,"[{""content"": ""(2000) and Kamath et al. (2003) N2 screens, the phenotypes of 423 clones were confirmed and 202 remained unconfirmed (Table 2; see Table S1). Combining the N2 screens and these 423 clones, the "", ""start_index"": 484994, ""end_index"": 485187}, {""content"": ""med phenotypes reflect true gene functions.\n\n\nAnalysis of the rrf-3 Results\nTo validate the results obtained using rrf-3, we first assayed the rate of false positives in the total datase"", ""start_index"": 486929, ""end_index"": 487115}, {""content"": ""excluding the 202 unconfirmed phenotypes), we detected the published phenotype for 54% of 397 selected loci, compared to 52% for N2 (Table 3; see Table S2).\n\nTable 3 Effectiveness of the rrf-3 "", ""start_index"": 488290, ""end_index"": 488483}]",chunking_evaluation/pubmed/pubmed.txt
What effect does the alternative β-catenin degradation pathway have on β-catenin levels under low APC concentrations?,"[{""content"": ""can also be degraded by nonaxin-dependent mechanisms, which include Siah-1 and presenilin-mediated degradation. Though they are expected to contribute very little to the total flux through the pathway, the nonaxin-dependent processes may have very important influences under certain conditions. In our Xenopus system, these alternative pathways do not contribute greatly to the half-life of \u03b2-catenin. Experimentally, we have measured only a 1.5% contribution to total \u03b2-catenin degradation such that the half-life of \u03b2-catenin is 45 h when the axin-dependent processes are inhibited. If in some situations the nonaxin-dependent degradation contributed 10% to the flux, the half-life would be 6.3 h (k\n13 = 1.83 \u00b7 10\u22123 min\u22121). The alternative pathways have very little effect on the half-life of \u03b2-catenin at normal and supranormal concentrations of APC. However, the effect of these alternative pathways becomes much more prominent when the APC concentration is lowered, a situation that may be significant under pathological conditions. As "", ""start_index"": 431857, ""end_index"": 432899}, {""content"": ""entration to its original level, depending on the concentration of APC.\n\nControl, Modular Composition, and Robustness of the Wnt Pathway\nThe model contains many parameters that affect the system "", ""start_index"": 434921, ""end_index"": 435116}]",chunking_evaluation/pubmed/pubmed.txt
How do RIC scores vary in their correlation with biochemical steps during V(D)J recombination?,"[{""content"": ""RIC scores correlate so well with SJ formation, less well with cleavage, and less well still with RSS binding. This supports the idea that individual nucleotides (and groups thereof) make distinct "", ""start_index"": 323948, ""end_index"": 324145}]",chunking_evaluation/pubmed/pubmed.txt
Which ARNO mutants failed to translocate to the membrane fraction after insulin stimulation in HIRcB cells?,"[{""content"": ""various degrees. However, neither R280D-ARNO nor \u0394PH-ARNO was recovered from the particulate fraction after insulin stimulation, suggesting that the translocation of ARNO to the membrane "", ""start_index"": 239587, ""end_index"": 239774}]",chunking_evaluation/pubmed/pubmed.txt
