question,references,corpus_id
What specific RSS shows no obvious explanation for its lack of activity despite having all critical residues conserved?,"[{""content"": ""study of individual RSS nucleotides in the context of physiologically relevant RSSs.\n\nWe have performed an extensive analysis of the functional properties of RSS elements in the context of endogenous recombination signals. To explore the nature of the complex relationships that might exist among different elements and positions in the RSS, we started with the nonfunctional RSS associated with the murine J\u03b22.6 pseudogene element of the TCR\u03b2 locus (J\u03b22.6 RSS). While most such pseudogene elements are flanked by RSSs with crippling mutations (Akira et al. 1987), J\u03b22.6 is unique in that the sequence of its flanking RSS suggests no obvious explanation for its complete "", ""start_index"": 281021, ""end_index"": 281692}]",chunking_evaluation/pubmed/pubmed.txt
Which hypothetical protein is graphically shown in Figure 1E for internal consistency of expression profile measurements?,"[{""content"": ""annotation. The internal consistency of expression profile measurements for ORFs represented by more than one oligonucleotide sequence is graphically shown in Figure 1E for the hypothetical protein MAL6P1.147, the largest predicted ORF in the genome (31 kb), which is represented by 14 "", ""start_index"": 13299, ""end_index"": 13585}]",chunking_evaluation/pubmed/pubmed.txt
What are the advantages of using Xenopus egg extracts in the study of the Wnt pathway?,"[{""content"": ""model. There are several unusual advantages to the extract system that contributed to this effort. "", ""start_index"": 445154, ""end_index"": 445253}, {""content"": ""is possible to precisely set the level of components by depletion or addition. The direct output of"", ""start_index"": 445630, ""end_index"": 445729}, {""content"": "" Wnt signaling, such as casein kinase I\u03b4, casein kinase I\u025b, and PAR1, as well as cross-talk"", ""start_index"": 446205, ""end_index"": 446296}, {""content"": ""t process we are studying. We are looking at events in the cytoplasm of unfertilized eggs. Though e"", ""start_index"": 446871, ""end_index"": 446970}, {""content"": ""derived a system of differential equations that described the time-dependent variations of t"", ""start_index"": 447736, ""end_index"": 447828}]",chunking_evaluation/pubmed/pubmed.txt
What is the result of excluding A+T-rich codon sites from the protein concatenation alignment?,"[{""content"": ""methione, isoleucine, asparagine, and lysine) (Singer and Hickey 2000). Using the resulting alignment (about 30,000 residues), we have reconstructed two trees, one with the NJ method and the polyacid-modified (PAM) matrix; the other with the NJ method and the \u03b3-based method for correcting the rate heterogeneity among sites and bootstrap. The trees obtained (data not shown) were identical and gave strong support to the grouping of Buchnera and Wigglesworthia and to their position as the sister-group of enteric bacteria (Escherichia, Salmonella, and Yersinia). Thus, this grouping is probably not an artifact of the biased composition of the endosymbiont "", ""start_index"": 193739, ""end_index"": 194398}]",chunking_evaluation/pubmed/pubmed.txt
What is the updated date for the content described in the text?,"[{""content"": ""step Mol Cell Biol 1998 18 6408 6415 9774656\n\nPMID: 0\nAccession ID: PMC212688\nLicense: CC BY\nLast Updated: 2021-01-05 08:21:04\nRetracted: no\nCitation: PLoS Biol. 2003 Oct 13; 1(1):e4\n==== "", ""start_index"": 340616, ""end_index"": 340804}]",chunking_evaluation/pubmed/pubmed.txt
What are the two endosymbionts mentioned in the text and what is their relationship based on the phylogenetic framework?,"[{""content"": ""reconstructing the events of genome evolution. An example of the kind of biological inference that can be built upon a well-supported phylogeny is provided by the two endosymbionts included in our set. Wigglesworthia and Buchnera have sometimes been considered as closely related and sometimes not, based on relatively weak phylogenetic evidence provided by the SSU rRNA alone. Our confirmation of their close relationship raises the question of whether their common ancestor was an endosymbiont with a reduced genome or a free-living bacterium (perhaps one with a host-associated lifestyle that promoted formation of intimate symbiosis). Because Buchnera and "", ""start_index"": 201909, ""end_index"": 202569}]",chunking_evaluation/pubmed/pubmed.txt
Which experiment demonstrated that brefeldin A-sensitive guanine nucleotide-exchange protein is involved in ADP-ribosylation factor for a specific organism?,"[{""content"": ""cDNA encoding a bovine brain brefeldin A-sensitive guanine nucleotide-exchange protein for ADP-ribosylation factor Proc Natl Acad Sci U S A 1997 94 12926 12931 9371777\n6. Peyroche A Paris S "", ""start_index"": 264878, ""end_index"": 265068}]",chunking_evaluation/pubmed/pubmed.txt
Who manages Creative Commons?,"[{""content"": "" copyright requires, oddly, some legal tinkering\u2014which is where Creative Commons, the organization "", ""start_index"": 371758, ""end_index"": 371857}]",chunking_evaluation/pubmed/pubmed.txt
Which ARNO mutants did not co-immunoprecipitate with the insulin receptor?,"[{""content"": ""the insulin receptor upon insulin stimulation. However, none of the deletion mutants, including \u0394PH-ARNO, PH-ARNO, \u0394CC-ARNO, and CC-ARNO, as well as a site-directed mutant R280D-ARNO, was found co-immunoprecipitated with the insulin receptor. These data suggest that ARNO directly interacts "", ""start_index"": 244981, ""end_index"": 245272}]",chunking_evaluation/pubmed/pubmed.txt
At what time does the peak expression of ribonucleotide reductase occur?,"[{""content"": ""ribonucleotide synthesis is required in the early stages of the IDC, deoxyribonucleotide metabolism is a trophozoite/early-schizont function. mRNA transcripts for enzymes that convert ribonucleotides into deoxyribonucleotides, including DHFR-TS and both subunits of ribonucleotide reductase, were induced approximately at 10 hpi, peaking at approximately 32 hpi (Figure 2F). This represents a "", ""start_index"": 24794, ""end_index"": 25187}]",chunking_evaluation/pubmed/pubmed.txt
How do consensus spacer sequences affect the formation of a stable 12-SC complex?,"[{""content"": ""of a consensus spacer may allow additional favorable contacts to be established, not only in the "", ""start_index"": 313566, ""end_index"": 313663}, {""content"": "" J\u03b22.6 RSS spacer or Sac) may structurally \u201cinsulate\u201d protein\u2013DNA contacts seen in the nonamer, such that potential heptamer contact surfaces that could otherwise contribute to overall 12-SC stabi"", ""start_index"": 313763, ""end_index"": 313959}, {""content"": ""results of binding and cleavage assays suggest that the steps following initial binding (paired complex [PC] formation and DNA cleavage) are also regulated by spacer sequences. PC formation"", ""start_index"": 314251, ""end_index"": 314440}]",chunking_evaluation/pubmed/pubmed.txt
Which RSS associated with the murine Jβ2.6 pseudogene element is unique for its lack of activity despite having all critical residues conserved?,"[{""content"": ""elements and positions in the RSS, we started with the nonfunctional RSS associated with the murine J\u03b22.6 pseudogene element of the TCR\u03b2 locus (J\u03b22.6 RSS). While most such pseudogene elements are flanked by RSSs with crippling mutations (Akira et al. 1987), J\u03b22.6 is unique in that the sequence of its flanking RSS suggests no obvious explanation for its complete lack of activity (Figure 1). "", ""start_index"": 281328, ""end_index"": 281721}]",chunking_evaluation/pubmed/pubmed.txt
What are the three components that make up each recombination signal sequence (RSS) during V(D)J recombination?,"[{""content"": ""presence is both necessary and sufficient to direct RAG-mediated recombination on artificial substrates. Sequence alignments of RSSs suggested that each signal can be dissected into three components: a conserved heptamer (consensus: 5\u2032-CACAGTG) and a conserved nonamer (consensus: 5\u2032-ACAAAAACC), separated by a poorly conserved spacer of either 12 \u00b1 1 or 23 \u00b1 1 bp (Tonegawa 1983; "", ""start_index"": 277391, ""end_index"": 277772}, {""content"": ""s is that they have often been performed in the context of RSSs with a preponderance of consensus nucleotides. While such analyses have been useful in characterizing the most conserved or crit"", ""start_index"": 280555, ""end_index"": 280747}]",chunking_evaluation/pubmed/pubmed.txt
Which protein is secreted by ventral lateral neurons to sustain normal cycling of circadian rhythms in constant darkness?,"[{""content"": ""rhythms depend on other neuronal groups as well. The researchers also demonstrate that the persistence of normal cycling during constant darkness depends on a protein (called PDF) secreted by the ventral lateral cells.\n\nThe PDF neuropeptide protein was thought to connect the molecular "", ""start_index"": 226551, ""end_index"": 226837}]",chunking_evaluation/pubmed/pubmed.txt
What criteria were used to retain quality spots in the microarray hybridizations?,"[{""content"": ""spots were retained based on the following criteria. The log2(Cy5/Cy3) ratio for array features that were unflagged and had a sum of median intensities greater than the local background plus two times the standard deviation of the background were extracted from the database for further "", ""start_index"": 64864, ""end_index"": 65151}]",chunking_evaluation/pubmed/pubmed.txt
What is the genetic distance between the Borneo haplotype BD and the closest β-haplotypes?,"[{""content"": ""network of haplotypes (Figure 4). Uncorrected p distances between the Borneo haplotype and other \u03b2-haplotypes ranged from 0.012 (haplotypes BQ, BP, BO, BS, BU) to 0.020 (haplotype BE), with a mean "", ""start_index"": 97574, ""end_index"": 97771}]",chunking_evaluation/pubmed/pubmed.txt
Which organizations supported RH in this study?,"[{""content"": ""itute of General Medical Sciences and the Harvard-Armenise Foundation for supplemental support (for RH). RH is also supported by the German Research Foundation (grant He 2049/2-1). EL is a Special Fellow of the Leukemia and Lymphoma Society. AS is supported by a Damon-Runyon Cancer Fund "", ""start_index"": 468523, ""end_index"": 468811}]",chunking_evaluation/pubmed/pubmed.txt
What are the factors driving the division between the United States and European Union regarding the use of GM crops?,"[{""content"": ""meaningful,\u201d says Persley.\n\nOpinions differ on this, however, and seem to follow the United States\u2013European Union divide over the use of GM crops. Kaare Nielsen, microbial geneticist at "", ""start_index"": 358845, ""end_index"": 359031}, {""content"": ""onsolidation created huge roadblocks, especially in getting the technology to developing nations. While Beachy blames the skyrocketing regulatory costs that \u201care due to regulators who have not"", ""start_index"": 360483, ""end_index"": 360675}, {""content"": ""ditional four-year delay that he feels is scientifically unnecessary. \u201cNobody can construct even a hypothetical risk to the environment from golden rice,\u201d he says, adding that nutritional risks are nonexistent as well. He acknowledges, however, that field tests will be beneficial"", ""start_index"": 362607, ""end_index"": 362887}]",chunking_evaluation/pubmed/pubmed.txt
What are the determinants of RSS specificity and function during V(D)J recombination?,"[{""content"": ""themselves demonstrate a remarkable degree of sequence heterogeneity. Only the first three nucleotides of the heptamer and the fifth and sixth positions of the nonamer show almost perfect conservation (Ramsden et al. 1994) and are therefore thought to be the major determinants of RSS specificity and function. Mutations in any of these five \u201ccritical\u201d nucleotides, alone or in "", ""start_index"": 278413, ""end_index"": 278791}]",chunking_evaluation/pubmed/pubmed.txt
What is the observed phase change in Pdf01 mutant flies compared to wild-type flies after 4 days of DD?,"[{""content"": ""advanced phase were observed in the fourth day of DD. See text for details.\n\nDespite the gradual fading of locomotor activity rhythms in DD, a significant fraction of Pdf01 mutant flies is still weakly rhythmic after 4 d of DD (Renn et al. 1999). By tracking their locomotor activity phases, we observed that most of them had accumulated an approximately 4-hour phase advance relative to "", ""start_index"": 145720, ""end_index"": 146108}]",chunking_evaluation/pubmed/pubmed.txt
How does APC-mediated degradation of axin affect β-catenin degradation with changing APC concentration?,"[{""content"": ""APC-mediated degradation of axin (\u201cwith regulatory loop\u201d where Equation [5] is applied) or the absence of such an effect (where the linear rate equation \u03bd\n15\n= k\n15\naxin is applied). With APC-mediated axin degradation, \u03b2-catenin degradation is affected very little by changes in the "", ""start_index"": 420899, ""end_index"": 421182}, {""content"": ""degradation (see Figure 1 and Equation [5]). Decreasing the concentration of APC inhibits the degradation of axin, thereby promoting the formation of the degradation complex. As shown in Figure 5, in the absence of the regulatory loop, axin degradation is APC independent, homeostasis is lost, and \u03b2-catenin levels are greatly upregulated with decreasing APC concentrations. A comparison of "", ""start_index"": 421381, ""end_index"": 421772}]",chunking_evaluation/pubmed/pubmed.txt
What methods did the researchers use to determine the evolutionary path of Borneo's elephants?,"[{""content"": ""debate.\n\nApplying DNA analysis and dating techniques to investigate the elephants' evolutionary path, researchers from the United States, India, and Malaysia, led by Don Melnick of the Center for "", ""start_index"": 123070, ""end_index"": 123266}]",chunking_evaluation/pubmed/pubmed.txt
